species,Phylum,Class,Order,Family,source,speciemens barcoded,speciemens,public BINs,verified by,status,BOLD taxid,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
Paraplatyptilia catharodactyla,Arthropoda,Insecta,Lepidoptera,Pterophoridae,"FE,LF",,,,,gap,,,,,,,,
Paraplatyptilia lineata,Arthropoda,Insecta,Lepidoptera,Pterophoridae,"FE,LF",,,,,gap,,,,,,,,
Paraplatyptilia metzneri,Arthropoda,Insecta,Lepidoptera,Pterophoridae,"BOLD,FE,LF",8.0,10.0,0.0,,,266495.0,,,,,,,
Paraplatyptilia sahlbergi,Arthropoda,Insecta,Lepidoptera,Pterophoridae,"FE,LF",,,,,gap,,,,,,,,
Paraplatyptilia sibirica,Arthropoda,Insecta,Lepidoptera,Pterophoridae,LF,,,,,gap,,,,,,,,
Paraplatyptilia terminalis,Arthropoda,Insecta,Lepidoptera,Pterophoridae,"FE,LF",,,,,gap,,,,,,,,
Platyptilia calodactyla,Arthropoda,Insecta,Lepidoptera,Pterophoridae,"BOLD,FE,LF,iNat",31.0,45.0,3.0,,,179084.0,,,,,,,
Platyptilia farfarellus,Arthropoda,Insecta,Lepidoptera,Pterophoridae,"BOLD,FE,LF",13.0,16.0,1.0,,,404709.0,,,,,,,
Platyptilia galicicaensis,Arthropoda,Insecta,Lepidoptera,Pterophoridae,"BOLD,LF",1.0,1.0,1.0,,,768023.0,,,,,,,
Platyptilia gonodactyla,Arthropoda,Insecta,Lepidoptera,Pterophoridae,"BOLD,FE,LF,iNat",39.0,53.0,2.0,,,179181.0,,,,,,,
Platyptilia iberica,Arthropoda,Insecta,Lepidoptera,Pterophoridae,"BOLD,FE,LF",0.0,1.0,0.0,,gap,517559.0,,,,,,,
Platyptilia isodactylus,Arthropoda,Insecta,Lepidoptera,Pterophoridae,"BOLD,FE,LF",0.0,3.0,0.0,,gap,354198.0,,,,,,,
Platyptilia nemoralis,Arthropoda,Insecta,Lepidoptera,Pterophoridae,"BOLD,FE,LF",6.0,12.0,1.0,,,224885.0,,,,,,,
Platyptilia pallidactyla,Arthropoda,Insecta,Lepidoptera,Pterophoridae,BOLD,0.0,2.0,0.0,,gap,224887.0,,,,,,,
Platyptilia picardi,Arthropoda,Insecta,Lepidoptera,Pterophoridae,BOLD,1.0,1.0,0.0,,,998834.0,,,,,,,
