"me.species","me.records","me.auc","null.auc"
"Phalera bucephalina.csv",2534,0.8209,0.536915153906867
"Pharmacis pyrenaicus.csv",15,0.9956,0.7324
"Phiaris rivulana.csv",1222,0.7938,0.546254091653028
"Phiaris valesiana.csv",787,0.7937,0.557018424396442
"Phtheochroa ecballiella.csv",5,0.9221,0.9006
"Phtheochroa simoniana.csv",9,0.8841,0.804388888888889
"Phycitodes bentinckella.csv",9,0.6726,0.803388888888889
"Phyllobrostis daphneella.csv",16,0.8734,0.7798125
"Phyllonorycter albidorsella.csv",244,0.8805,0.591395491803279
"Phyllonorycter argyrolobiella.csv",12,0.8029,0.782833333333333
"Phyllonorycter brevilineatella.csv",309,0.8071,0.574815533980582
"Phyllonorycter felinelle.csv",366,0.9074,0.576743169398907
"Phyllonorycter glaserorum.csv",8,0.9117,0.8079375
"Phyllonorycter heringiella.csv",375,0.8301,0.574226666666667
"Phyllonorycter irmella.csv",225,0.8782,0.59028
"Phyllonorycter joviella.csv",36,0.847,0.69575
"Phyllonorycter mespiella.csv",48,0.7795,0.666625
"Phyllonorycter milleriella.csv",14,0.7999,0.770571428571429
"Phyllonorycter pyrifoliella.csv",9,0.7179,0.805333333333333
"Phyllonorycter saportella.csv",105,0.8897,0.632380952380952
"Phyllonorycter tinctoriella.csv",20,0.8035,0.75805
"Phyllonorycter viminiella.csv",375,0.8063,0.571216
"Pima leucoloma.csv",74,0.8318,0.644472972972973
"Platyptilia iberica.csv",6,0.9465,0.8795
"Platyptilia isodactylus.csv",34,0.8682,0.705264705882353
"Platyptilia pallidactyla.csv",2248,0.8123,0.538176823843416
"Plusia chrysitis.csv",1732,0.8465,0.541794168591224
"Polyocha strigosa.csv",18,0.9113,0.749166666666667
"Polyommatus philippi.csv",42,0.9575,0.696904761904762
"Povolnýa leucapennella.csv",94,0.8719,0.637734042553191
"Pseudopostega cyrneochalcopepla.csv",6,0.8468,0.838
"Pseudosophronia constanti.csv",7,0.9682,0.793
"Psodos canaliculata.csv",56,0.9832,0.654857142857143
"Psorosa mediterranella.csv",14,0.8347,0.777
"Pterolonche albescens.csv",8,0.8156,0.846625
"Pterothrixidia impurella.csv",7,0.8115,0.808285714285714
"Pterothrixidia squalidella.csv",40,0.8397,0.691775
"Pyrausta acontialis.csv",20,0.6883,0.7251
"Pyropteron sicula.csv",616,0.7949,0.559633116883117
"Rebelia majorella.csv",8,0.9787,0.807125
"Rebelia surientella.csv",6,0.5,0.882833333333333
"Reisserita zernyi.csv",11,0.8818,0.805363636363636
"Rhyacia arenacea.csv",7,0.6475,0.818857142857143
"Rhyacia grisescens.csv",834,0.8813,0.556671462829736
"Rhyacia latens.csv",129,0.942,0.632627906976744
"Rhyacionia miniatana.csv",8,0.7983,0.8225
"Rhynchodontodes revolutalis.csv",10,0.7,0.8091
"Satyrus bryce.csv",1165,0.8887,0.554416309012876
"Schrankia balneorum.csv",5,0.5847,0.8704
"Scopula congruata.csv",6,0.797,0.858166666666667
"Scythris bornicensis.csv",7,0.7066,0.884857142857143
"Scythris chablaisensis.csv",77,0.8509,0.648909090909091
"Scythris confluens.csv",5,0.9063,0.891
"Scythris crypta.csv",9,0.99,0.758833333333333
"Scythris flabella.csv",5,0.729,0.8965
"Scythris lafauryi.csv",5,0.9206,0.912
"Scythris parafuscoaenea.csv",5,0.9631,0.8326
"Scythris villari.csv",12,0.7926,0.79275
"Solenobia triquetrella.csv",521,0.8576,0.566222648752399
"Sorhagenia orocorsa.csv",142,0.8628,0.610457746478873
"Standfussiana insulicola.csv",7,0.9897,0.867571428571429
"Stemmatophora rungsi.csv",40,0.9191,0.689625
"Stemmatophora syriacalis.csv",12,0.7403,0.765958333333333
"Stenoptilia millieridactyla.csv",23,0.7883,0.711391304347826
"Stenoptilia scabiodactylus.csv",922,0.8332,0.551303145336226
"Stenoptilia serotinus.csv",922,0.8315,0.549720173535792
"Stigmella cyrneorolandi.csv",12,0.7605,0.79075
"Stigmella thibaulti.csv",26,0.9039,0.723423076923077
"Stigmella ulmariae.csv",95,0.8818,0.629463157894737
"Symmoca alhambrella.csv",7,0.8217,0.831714285714286
"Symmoca nigromaculella.csv",24,0.8922,0.729666666666667
"Symmoca ponerias.csv",24,0.887,0.721666666666667
"Symmoca revoluta.csv",21,0.9172,0.719666666666667
"Symmocoides don.csv",6,0.8906,0.857916666666667
"Synaphe diffidalis.csv",20,0.8114,0.72795
"Synaphe lorquinalis.csv",6,0.9192,0.839166666666667
"Synaphe predotalis.csv",9,0.8997,0.815111111111111
"Syncopacma parawormiella.csv",23,0.7849,0.728434782608696
"Tabulaephorus punctinervis.csv",20,0.8892,0.73425
"Tabulaephorus tyrrhenica.csv",20,0.9025,0.73345
"Talis quercella.csv",9,0.538,0.782055555555556
"Teleiodes italicus.csv",15,0.7352,0.7558
"Teleiodes squamulella.csv",33,0.8723,0.707545454545455
"Teleoides luculella.csv",809,0.8784,0.553221878862794
"Tephronia cremiaria.csv",356,0.877,0.575230337078652
"Tephronia theophilaria.csv",14,0.9113,0.784571428571429
"Theria crypta.csv",241,0.8691,0.591344398340249
"Thiodia couleruana.csv",10,0.7716,0.8224
"Thiodiodes seeboldi.csv",7,0.8818,0.809
"Trichiura ariae.csv",1992,0.7911,0.539957078313253
"Trifurcula collinella.csv",5,0.7791,0.8776
"Triodia amasinus.csv",13,0.7996,0.780846153846154
"Typhonia punctata.csv",5,0.6978,0.881
"Udea conquisitalis.csv",109,0.877,0.644211009174312
"Udea maurinalis.csv",7,0.9773,0.8365
"Uncinus hispanella.csv",6,0.775,0.852833333333333
"Valdovecaria hispanicella.csv",18,0.7953,0.7405
"Xanthocrambus delicatellus.csv",16,0.842,0.751375
"Xestia viridiscens.csv",10,0.9688,0.8092
"Zenophassus schamyl.csv",8,0.9502,0.7975
"Zygaena anthyllidis.csv",38,0.9581,0.691105263157895
"Zygaena centaureae.csv",22,0.8034,0.721045454545455
"Zygaena contaminei.csv",23,0.9948,0.718347826086957
"Zygaena corsica.csv",13,0.9496,0.776538461538462
"Zygaena dorycnii.csv",36,0.9047,0.712166666666667
"Zygaena hilaris.csv",365,0.9025,0.570342465753425
"Zygaena ignifera.csv",28,0.9532,0.702392857142857
"Zygaena occitanica.csv",489,0.9066,0.565791411042945
"Zygaena orana.csv",9,0.8519,0.781722222222222
"Zygaena oxytropis.csv",59,0.934,0.64893220338983
"Zygaena rhadamanthus.csv",593,0.8956,0.559602023608769
